,0,1,2,3,4,5,6,7,8,9
0,7.853421266190708e-06,0.013773525133728981,9.467480026614794e-07,0.00012971328396815807,3.8229762139962986e-05,3.2055847896117484e-06,0.014215642586350441,0.08830910176038742,4.318750598031329e-06,6.281749665504321e-05
1,9.467480026614794e-07,1.7863324046629714e-06,3.056743480556179e-06,3.2055847896117484e-06,4.318750598031329e-06,7.853421266190708e-06,1.4133184777165297e-05,3.8229762139962986e-05,4.230026024742983e-05,4.461375647224486e-05
2,7.865171482990263e-07,9.467480026614794e-07,1.7863324046629714e-06,2.032772727034171e-06,2.0791353563254233e-06,3.056743480556179e-06,3.2055847896117484e-06,4.318750598031329e-06,7.853421266190708e-06,1.0076038961415179e-05
3,2.8311990263318876e-07,7.469687375305512e-07,7.865171482990263e-07,9.467480026614794e-07,1.1070969776483253e-06,1.7863324046629714e-06,2.0061047507624608e-06,2.032772727034171e-06,2.0791353563254233e-06,3.056743480556179e-06
4,2.8311990263318876e-07,4.521020287029387e-07,5.783512619927933e-07,7.094325837897486e-07,7.469687375305512e-07,7.865171482990263e-07,9.467480026614794e-07,1.1070969776483253e-06,1.7863324046629714e-06,2.0061047507624608e-06
5,2.8311990263318876e-07,4.521020287029387e-07,5.783512619927933e-07,6.20391801930964e-07,6.242817676138657e-07,6.351893944156473e-07,6.779692967029405e-07,7.094325837897486e-07,7.469687375305512e-07,7.865171482990263e-07
6,2.8311990263318876e-07,4.0816274804456043e-07,4.521020287029387e-07,5.783512619927933e-07,6.20391801930964e-07,6.242817676138657e-07,6.351893944156473e-07,6.779692967029405e-07,7.094325837897486e-07,7.469687375305512e-07
7,2.8311990263318876e-07,3.1208296036311367e-07,3.3233027352252975e-07,3.800563490585773e-07,4.0816274804456043e-07,4.521020287029387e-07,5.783512619927933e-07,6.20391801930964e-07,6.242817676138657e-07,6.351893944156473e-07
8,2.006624271189139e-07,2.8311990263318876e-07,3.1208296036311367e-07,3.3233027352252975e-07,3.800563490585773e-07,4.0816274804456043e-07,4.521020287029387e-07,5.783512619927933e-07,6.20391801930964e-07,6.242817676138657e-07
9,2.006624271189139e-07,2.634653526456532e-07,2.8311990263318876e-07,3.1208296036311367e-07,3.3233027352252975e-07,3.386423941265093e-07,3.800563490585773e-07,4.0816274804456043e-07,4.2297386926293257e-07,4.3365284341234656e-07
10,2.006624271189139e-07,2.623788475375477e-07,2.634653526456532e-07,2.8311990263318876e-07,3.1208296036311367e-07,3.3233027352252975e-07,3.386423941265093e-07,3.800563490585773e-07,4.0816274804456043e-07,4.2297386926293257e-07
