dopant,dose(cm^-2),energy(KeV),wavelength(um),repetition rate (KHz),power (W),temperature( C ),measurement1,measurement2,measurement3,measurement4,measurement5,measurement6,measurement7,measurement8,measurement9,average value,simulation value
1,5.00E+15,40,532,50,1.498,25,4.50E+02,4.50E+02,4.50E+02,4.45E+02,4.44E+02,4.45E+02,4.46E+02,4.47E+02,4.47E+02,447.17,2.331e+02
1,5.00E+15,40,532,50,1.498,300,2.93E+02,2.93E+02,2.93E+02,2.94E+02,2.94E+02,2.94E+02,2.95E+02,2.95E+02,2.95E+02,294.03,8.736e+01
1,5.00E+15,40,532,100,1.496,25,5.94E+07,4.78E+07,5.36E+07,5.88E+07,5.05E+07,5.47E+07,6.33E+07,4.98E+07,5.66E+07,54940000,3.013e+02
1,5.00E+15,40,532,100,1.498,300,3.56E+08,3.45E+08,3.50E+08,3.43E+08,3.49E+08,3.46E+08,3.54E+08,3.45E+08,3.49E+08,348530000,9.859e+01
1,5.00E+15,40,532,50,2.996,25,1.19E+02,1.19E+02,1.19E+02,1.19E+02,1.19E+02,1.19E+02,1.19E+02,1.19E+02,1.19E+02,118.9,1.181e+02
1,5.00E+15,40,532,50,2.996,302,7.62E+01,7.62E+01,7.62E+01,7.63E+01,7.63E+01,7.63E+01,7.64E+01,7.64E+01,7.64E+01,76.3,6.143e+01
1,5.00E+15,40,532,100,2.995,25,4.14E+02,4.14E+02,4.14E+02,4.24E+02,4.23E+02,4.23E+02,4.16E+02,4.16E+02,4.16E+02,417.87,1.701e+02
1,5.00E+15,40,532,100,2.999,299,2.41E+02,2.41E+02,2.41E+02,2.43E+02,2.43E+02,2.43E+02,2.44E+02,2.44E+02,2.44E+02,242.37,7.507e+01
1,5.00E+15,40,532,50,4.501,25,5.11E+01,5.12E+01,5.12E+01,5.16E+01,5.15E+01,5.15E+01,5.14E+01,5.14E+01,5.14E+01,51.35,7.397e+01
1,5.00E+15,40,532,50,4.499,305,4.77E+01,4.77E+01,4.77E+01,4.77E+01,4.77E+01,4.77E+01,4.80E+01,4.80E+01,4.80E+01,47.8,4.477e+01
1,5.00E+15,40,532,100,4.498,25,1.54E+02,1.54E+02,1.54E+02,1.54E+02,1.54E+02,1.54E+02,1.54E+02,1.54E+02,1.54E+02,153.6,1.105e+02
