dopant,dose(cm^-2),energy(KeV),wavelength(um),repetition rate (KHz),power (W),temperature( C ),measurement1,measurement2,measurement3,measurement4,measurement5,measurement6,measurement7,measurement8,measurement9,average value,simulation value
2,2000000000000000.0,25,532,100,2.995,300,463.0,463.0,463.0,463.0,463.0,463.0,463.0,463.0,463.0,462.8333333,270.5
1,800000000000000.0,40,532,100,4.493,300,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1508.0,156.0
2,5000000000000000.0,40,532,100,1.496,25,59600000.0,42600000.0,51100000.0,47100000.0,48100000.0,47600000.0,59600000.0,55100000.0,57300000.0,52010000.0,2371.0
1,5000000000000000.0,10,532,100,6.002,25,95.9,95.9,95.9,95.4,95.4,95.4,95.4,95.4,95.4,95.54666667,156.8
1,800000000000000.0,40,532,50,1.497,300,5770.0,5780.0,5780.0,5760.0,5770.0,5770.0,5780.0,5790.0,5780.0,5775.666667,185.7
2,800000000000000.0,25,355,50,2.327,300,411.0,412.0,411.0,414.0,414.0,414.0,412.0,412.0,412.0,412.5666667,256.6
2,800000000000000.0,55,0,0,0.0,25,79800000.0,83100000.0,81500000.0,88600000.0,68100000.0,78400000.0,78300000.0,80200000.0,79300000.0,79690000.0,7343.0
1,2000000000000000.0,10,355,50,2.998,301,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,118.9,91.91
1,5000000000000000.0,55,532,100,2.995,300,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.1,75.49
1,2000000000000000.0,25,532,100,1.497,300,2880000000.0,844000000.0,1860000000.0,3060000000.0,653000000.0,1860000000.0,3180000000.0,608000000.0,1900000000.0,1871666667.0,161.1
2,500000000000000.0,25,532,100,4.493,300,1400.0,1410.0,1410.0,1410.0,1410.0,1410.0,1410.0,1410.0,1410.0,1406.666667,311.2
1,500000000000000.0,25,532,100,2.995,300,5580.0,5610.0,5600.0,5600.0,5610.0,5600.0,5600.0,5610.0,5600.0,5600.333333,260.3
1,500000000000000.0,10,355,100,0.997,300,1690000000.0,1040000000.0,1370000000.0,1670000000.0,1000000000.0,1330000000.0,1770000000.0,1010000000.0,1390000000.0,1363666667.0,414.4
1,2000000000000000.0,55,532,100,4.493,300,391.0,393.0,392.0,394.0,394.0,394.0,394.0,394.0,394.0,393.2,93.08
1,800000000000000.0,55,532,50,1.497,300,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12486.66667,191.1
2,800000000000000.0,55,355,100,0.999,25,24000000.0,24100000.0,24100000.0,23500000.0,23600000.0,23500000.0,23600000.0,23900000.0,23700000.0,23763333.33,2439.0
1,800000000000000.0,55,532,100,5.998,25,3680.0,3680.0,3680.0,3690.0,3690.0,3690.0,3680.0,3690.0,3690.0,3684.666667,184.2
2,500000000000000.0,10,532,50,1.498,25,39800000.0,37100000.0,38400000.0,38600000.0,37900000.0,38300000.0,38700000.0,38300000.0,38500000.0,38393333.33,4226.0
1,500000000000000.0,40,355,50,1.002,25,7100000.0,7120000.0,7110000.0,7110000.0,7070000.0,7090000.0,7080000.0,7040000.0,7060000.0,7086333.333,401.3
2,5000000000000000.0,55,355,100,1.998,300,424.0,424.0,424.0,422.0,422.0,422.0,423.0,423.0,423.0,422.9,160.3
1,2000000000000000.0,40,0,0,0.0,25,91600000.0,79600000.0,85600000.0,87900000.0,84200000.0,86100000.0,106000000.0,85800000.0,95600000.0,89110000.0,643.1
1,500000000000000.0,25,355,50,2.327,300,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1251.333333,238.2
2,500000000000000.0,10,532,100,4.497,25,2240.0,2240.0,2240.0,2240.0,2240.0,2240.0,2240.0,2240.0,2240.0,2239.0,1195.0
1,5000000000000000.0,40,355,100,1.497,25,13800.0,13800.0,13800.0,13800.0,13800.0,13800.0,13900.0,13900.0,13900.0,13860.0,239.5
1,800000000000000.0,55,355,100,1.998,300,42900.0,43000.0,43000.0,42900.0,43000.0,43000.0,43000.0,43000.0,43000.0,42970.0,183.2
1,2000000000000000.0,55,532,100,5.998,25,421.0,421.0,421.0,422.0,422.0,422.0,422.0,422.0,422.0,421.5333333,113.2
1,5000000000000000.0,10,532,50,5.999,25,51.7,51.6,51.6,51.7,51.7,51.7,51.7,51.7,51.7,51.67333333,51.98
2,800000000000000.0,40,532,50,1.497,25,13700.0,13700.0,13700.0,13700.0,13700.0,13700.0,13700.0,13700.0,13700.0,13696.66667,1730.0
2,5000000000000000.0,40,532,50,4.501,25,62.0,62.0,62.0,60.7,60.7,60.7,61.0,60.9,61.0,61.23,171.7
2,800000000000000.0,25,532,50,6.001,25,416.0,416.0,416.0,416.0,416.0,416.0,417.0,417.0,417.0,416.1,165.2
2,5000000000000000.0,55,532,50,1.497,300,326.0,326.0,326.0,326.0,326.0,326.0,325.0,326.0,325.0,325.7666667,196.1
1,5000000000000000.0,10,355,100,0.497,25,151000000.0,145000000.0,148000000.0,160000000.0,143000000.0,151000000.0,156000000.0,148000000.0,152000000.0,150300000.0,1062.0
2,800000000000000.0,25,532,100,5.998,25,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1028.666667,391.5
2,5000000000000000.0,10,532,50,2.999,300,89.0,88.8,88.9,88.8,88.9,88.9,89.0,89.0,89.0,88.89666667,232.3
2,2000000000000000.0,40,355,100,0.498,25,120000000.0,108000000.0,114000000.0,115000000.0,112000000.0,114000000.0,122000000.0,122000000.0,122000000.0,116566666.7,4478.0
1,2000000000000000.0,40,532,100,5.998,25,298.0,298.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,298.6333333,110.6
1,800000000000000.0,40,0,0,0.0,25,77500000.0,77300000.0,77400000.0,82200000.0,82400000.0,82300000.0,83100000.0,80000000.0,81500000.0,80400000.0,691.5
1,800000000000000.0,40,532,50,6.001,25,396.0,397.0,397.0,395.0,395.0,395.0,395.0,394.0,394.0,395.4,145.7
2,5000000000000000.0,55,532,50,6.003,300,55.2,55.2,55.2,55.2,55.2,55.2,55.2,55.2,55.2,55.19333333,36.02
2,2000000000000000.0,55,355,100,0.999,300,3200000000.0,1050000000.0,2120000000.0,2970000000.0,1150000000.0,2060000000.0,3070000000.0,1190000000.0,2130000000.0,2104333333.0,313.9
2,800000000000000.0,25,532,50,1.497,25,9790.0,9800.0,9800.0,9790.0,9820.0,9800.0,9790.0,9800.0,9790.0,9796.0,2318.0
2,800000000000000.0,40,532,100,1.504,25,31200000.0,31300000.0,31300000.0,31000000.0,30800000.0,30900000.0,31900000.0,30700000.0,31300000.0,31150000.0,2557.0
1,500000000000000.0,10,355,50,1.658,300,3120.0,3120.0,3120.0,3120.0,3130.0,3120.0,3120.0,3120.0,3120.0,3119.666667,335.5
2,800000000000000.0,55,355,100,0.496,300,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,100000000000.0,492.5
2,2000000000000000.0,40,532,100,2.995,300,526.0,525.0,526.0,527.0,527.0,527.0,527.0,527.0,527.0,526.5333333,213.9
1,5000000000000000.0,10,355,100,1.497,300,3410.0,3410.0,3410.0,3410.0,3410.0,3410.0,3410.0,3410.0,3410.0,3406.666667,194.0
2,800000000000000.0,40,355,100,1.998,300,4200.0,4200.0,4200.0,4190.0,4190.0,4190.0,4170.0,4170.0,4170.0,4188.0,312.4
2,5000000000000000.0,40,532,100,5.997,25,117.0,117.0,117.0,116.0,116.0,116.0,116.0,116.0,116.0,116.18,197.2
2,5000000000000000.0,40,0,0,0.0,25,196000000.0,175000000.0,185000000.0,188000000.0,184000000.0,186000000.0,195000000.0,172000000.0,183000000.0,184870000.0,7887.0
2,800000000000000.0,10,355,100,0.498,25,453000000.0,446000000.0,449000000.0,454000000.0,450000000.0,452000000.0,455000000.0,454000000.0,454000000.0,451833333.3,11360.0
1,2000000000000000.0,40,532,50,4.501,25,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,118.7,105.5
1,500000000000000.0,40,0,0,0.0,25,74500000.0,63200000.0,68800000.0,84400000.0,64200000.0,74300000.0,81600000.0,66600000.0,74100000.0,72406666.67,734.4
2,800000000000000.0,55,532,100,4.502,25,1750.0,1750.0,1750.0,1750.0,1750.0,1750.0,1750.0,1750.0,1750.0,1745.666667,440.7
2,5000000000000000.0,25,532,50,6.003,300,54.9,54.9,54.9,54.9,54.9,54.9,54.9,54.8,54.8,54.88666667,35.99
2,5000000000000000.0,55,532,50,6.001,25,58.7,58.7,58.7,58.8,58.7,58.7,58.6,58.5,58.5,58.65,57.9
2,800000000000000.0,55,355,50,2.327,300,452.0,452.0,452.0,452.0,452.0,452.0,452.0,452.0,452.0,452.3,198.5
2,800000000000000.0,40,355,50,0.998,300,4920.0,4930.0,4930.0,4940.0,4950.0,4940.0,4940.0,4950.0,4950.0,4940.0,385.7
1,800000000000000.0,10,532,100,5.998,25,1180.0,1180.0,1180.0,1180.0,1180.0,1180.0,1180.0,1180.0,1180.0,1179.666667,272.0
2,800000000000000.0,55,532,50,6.001,25,409.0,409.0,409.0,408.0,408.0,408.0,408.0,408.0,408.0,408.3,153.8
1,2000000000000000.0,25,532,50,1.497,300,586.0,586.0,586.0,585.0,586.0,585.0,586.0,586.0,586.0,585.9333333,145.4
1,2000000000000000.0,25,355,100,1.496,300,7720.0,7730.0,7730.0,7650.0,7660.0,7660.0,7690.0,7690.0,7690.0,7691.333333,148.0
